;mode;conjunction-1;pronoun-1;negation-1;refl_pronoun-1;conjugation-1;conjunction-2;pronoun-2;negation-2;refl_pronoun-2;conjugation-2;conjunction-3;pronoun-3;negation-3;refl_pronoun-3;conjugation-3;conjunction-4;pronoun-4;negation-4;refl_pronoun-4;conjugation-4;conjunction-5;pronoun-5;negation-5;refl_pronoun-5;conjugation-5;conjunction-6;pronoun-6;negation-6;refl_pronoun-6;conjugation-6;conjunction-7;pronoun-7;negation-7;refl_pronoun-7;conjugation-7
Infinitivo;infinitivo;aburrirse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gerundio;gerundio;aburriéndose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participio;participio;aburrido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indicativo Presente;indicativo;;yo ;;me ;aburro;;tú ;;te ;aburres;;él //ella //usted ;;se ;aburre;;nosotros ;;nos ;aburrimos;;vosotros ;;os ;aburrís;;ustedes //ellos //ellas ;;se ;aburren;;vos ;;te ;aburrís
Indicativo Pretérito Imperfecto;indicativo;;yo ;;me ;aburría;;tú //vos ;;te ;aburrías;;él //ella //usted ;;se ;aburría;;nosotros ;;nos ;aburríamos;;vosotros ;;os ;aburríais;;ustedes //ellos //ellas ;;se ;aburrían;;;;;
Indicativo Pretérito Indefinido;indicativo;;yo ;;me ;aburrí;;tú //vos ;;te ;aburriste;;él //ella //usted ;;se ;aburrió;;nosotros ;;nos ;aburrimos;;vosotros ;;os ;aburristeis;;ustedes //ellos //ellas ;;se ;aburrieron;;;;;
Indicativo Futuro;indicativo;;yo ;;me ;aburriré;;tú //vos ;;te ;aburrirás;;él //ella //usted ;;se ;aburrirá;;nosotros ;;nos ;aburriremos;;vosotros ;;os ;aburriréis;;ustedes //ellos //ellas ;;se ;aburrirán;;;;;
Indicativo Pretérito Perfecto;indicativo;;yo ;;me ;he aburrido;;tú //vos ;;te ;has aburrido;;él //ella //usted ;;se ;ha aburrido;;nosotros ;;nos ;hemos aburrido;;vosotros ;;os ;habéis aburrido;;ustedes //ellos //ellas ;;se ;han aburrido;;;;;
Indicativo Pretérito Pluscuamperfecto;indicativo;;yo ;;me ;había aburrido;;tú //vos ;;te ;habías aburrido;;él //ella //usted ;;se ;había aburrido;;nosotros ;;nos ;habíamos aburrido;;vosotros ;;os ;habíais aburrido;;ustedes //ellos //ellas ;;se ;habían aburrido;;;;;
Indicativo Pretérito Anterior;indicativo;;yo ;;me ;hube aburrido;;tú //vos ;;te ;hubiste aburrido;;él //ella //usted ;;se ;hubo aburrido;;nosotros ;;nos ;hubimos aburrido;;vosotros ;;os ;hubisteis aburrido;;ustedes //ellos //ellas ;;se ;hubieron aburrido;;;;;
Indicativo Futuro Perfecto;indicativo;;yo ;;me ;habré aburrido;;tú //vos ;;te ;habrás aburrido;;él //ella //usted ;;se ;habrá aburrido;;nosotros ;;nos ;habremos aburrido;;vosotros ;;os ;habréis aburrido;;ustedes //ellos //ellas ;;se ;habrán aburrido;;;;;
Subjuntivo Presente;subjuntivo;;yo ;;me ;aburra;;tú //vos ;;te ;aburras;;él //ella //usted ;;se ;aburra;;nosotros ;;nos ;aburramos;;vosotros ;;os ;aburráis;;ustedes //ellos //ellas ;;se ;aburran;;;;;
Subjuntivo Pretérito Imperfecto;subjuntivo;;yo ;;me ;aburriera / aburriese;;tú //vos ;;te ;aburrieras / aburrieses;;él //ella //usted ;;se ;aburriera / aburriese;;nosotros ;;nos ;aburriéramos / aburriésemos;;vosotros ;;os ;aburrierais / aburrieseis;;ustedes //ellos //ellas ;;se ;aburrieran / aburriesen;;;;;
Subjuntivo Futuro;subjuntivo;;yo ;;me ;aburriere;;tú //vos ;;te ;aburrieres;;él //ella //usted ;;se ;aburriere;;nosotros ;;nos ;aburriéremos;;vosotros ;;os ;aburriereis;;ustedes //ellos //ellas ;;se ;aburrieren;;;;;
Subjuntivo Pretérito Perfecto;subjuntivo;;yo ;;me ;haya aburrido;;tú //vos ;;te ;hayas aburrido;;él //ella //usted ;;se ;haya aburrido;;nosotros ;;nos ;hayamos aburrido;;vosotros ;;os ;hayáis aburrido;;ustedes //ellos //ellas ;;se ;hayan aburrido;;;;;
Subjuntivo Pretérito Pluscuamperfecto;subjuntivo;;yo ;;me ;hubiera aburrido / hubiese aburrido;;tú //vos ;;te ;hubieras aburrido / hubieses aburrido;;él //ella //usted ;;se ;hubiera aburrido / hubiese aburrido;;nosotros ;;nos ;hubiéramos aburrido / hubiésemos aburrido;;vosotros ;;os ;hubierais aburrido / hubieseis aburrido;;ustedes //ellos //ellas ;;se ;hubieran aburrido / hubiesen aburrido;;;;;
Subjuntivo Futuro Perfecto;subjuntivo;;yo ;;me ;hubiere aburrido;;tú //vos ;;te ;hubieres aburrido;;él //ella //usted ;;se ;hubiere aburrido;;nosotros ;;nos ;hubiéremos aburrido;;vosotros ;;os ;hubiereis aburrido;;ustedes //ellos //ellas ;;se ;hubieren aburrido;;;;;
