;mode;conjunction-1;pronoun-1;negation-1;refl_pronoun-1;conjugation-1;conjunction-2;pronoun-2;negation-2;refl_pronoun-2;conjugation-2;conjunction-3;pronoun-3;negation-3;refl_pronoun-3;conjugation-3;conjunction-4;pronoun-4;negation-4;refl_pronoun-4;conjugation-4;conjunction-5;pronoun-5;negation-5;refl_pronoun-5;conjugation-5;conjunction-6;pronoun-6;negation-6;refl_pronoun-6;conjugation-6;conjunction-7;pronoun-7;negation-7;refl_pronoun-7;conjugation-7
Infinitivo;infinitivo;escribir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gerundio;gerundio;escribiendo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participio;participio;escrito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indicativo Presente;indicativo;;yo ;;;escribo;;tú ;;;escribes;;él //ella //usted ;;;escribe;;nosotros ;;;escribimos;;vosotros ;;;escribís;;ustedes //ellos //ellas ;;;escriben;;vos ;;;escribís
Indicativo Pretérito Imperfecto;indicativo;;yo ;;;escribía;;tú //vos ;;;escribías;;él //ella //usted ;;;escribía;;nosotros ;;;escribíamos;;vosotros ;;;escribíais;;ustedes //ellos //ellas ;;;escribían;;;;;
Indicativo Pretérito Indefinido;indicativo;;yo ;;;escribí;;tú //vos ;;;escribiste;;él //ella //usted ;;;escribió;;nosotros ;;;escribimos;;vosotros ;;;escribisteis;;ustedes //ellos //ellas ;;;escribieron;;;;;
Indicativo Futuro;indicativo;;yo ;;;escribiré;;tú //vos ;;;escribirás;;él //ella //usted ;;;escribirá;;nosotros ;;;escribiremos;;vosotros ;;;escribiréis;;ustedes //ellos //ellas ;;;escribirán;;;;;
Indicativo Pretérito Perfecto;indicativo;;yo ;;;he escrito;;tú //vos ;;;has escrito;;él //ella //usted ;;;ha escrito;;nosotros ;;;hemos escrito;;vosotros ;;;habéis escrito;;ustedes //ellos //ellas ;;;han escrito;;;;;
Indicativo Pretérito Pluscuamperfecto;indicativo;;yo ;;;había escrito;;tú //vos ;;;habías escrito;;él //ella //usted ;;;había escrito;;nosotros ;;;habíamos escrito;;vosotros ;;;habíais escrito;;ustedes //ellos //ellas ;;;habían escrito;;;;;
Indicativo Pretérito Anterior;indicativo;;yo ;;;hube escrito;;tú //vos ;;;hubiste escrito;;él //ella //usted ;;;hubo escrito;;nosotros ;;;hubimos escrito;;vosotros ;;;hubisteis escrito;;ustedes //ellos //ellas ;;;hubieron escrito;;;;;
Indicativo Futuro Perfecto;indicativo;;yo ;;;habré escrito;;tú //vos ;;;habrás escrito;;él //ella //usted ;;;habrá escrito;;nosotros ;;;habremos escrito;;vosotros ;;;habréis escrito;;ustedes //ellos //ellas ;;;habrán escrito;;;;;
Subjuntivo Presente;subjuntivo;;yo ;;;escriba;;tú //vos ;;;escribas;;él //ella //usted ;;;escriba;;nosotros ;;;escribamos;;vosotros ;;;escribáis;;ustedes //ellos //ellas ;;;escriban;;;;;
Subjuntivo Pretérito Imperfecto;subjuntivo;;yo ;;;escribiera / escribiese;;tú //vos ;;;escribieras / escribieses;;él //ella //usted ;;;escribiera / escribiese;;nosotros ;;;escribiéramos / escribiésemos;;vosotros ;;;escribierais / escribieseis;;ustedes //ellos //ellas ;;;escribieran / escribiesen;;;;;
Subjuntivo Futuro;subjuntivo;;yo ;;;escribiere;;tú //vos ;;;escribieres;;él //ella //usted ;;;escribiere;;nosotros ;;;escribiéremos;;vosotros ;;;escribiereis;;ustedes //ellos //ellas ;;;escribieren;;;;;
Subjuntivo Pretérito Perfecto;subjuntivo;;yo ;;;haya escrito;;tú //vos ;;;hayas escrito;;él //ella //usted ;;;haya escrito;;nosotros ;;;hayamos escrito;;vosotros ;;;hayáis escrito;;ustedes //ellos //ellas ;;;hayan escrito;;;;;
Subjuntivo Pretérito Pluscuamperfecto;subjuntivo;;yo ;;;hubiera escrito / hubiese escrito;;tú //vos ;;;hubieras escrito / hubieses escrito;;él //ella //usted ;;;hubiera escrito / hubiese escrito;;nosotros ;;;hubiéramos escrito / hubiésemos escrito;;vosotros ;;;hubierais escrito / hubieseis escrito;;ustedes //ellos //ellas ;;;hubieran escrito / hubiesen escrito;;;;;
Subjuntivo Futuro Perfecto;subjuntivo;;yo ;;;hubiere escrito;;tú //vos ;;;hubieres escrito;;él //ella //usted ;;;hubiere escrito;;nosotros ;;;hubiéremos escrito;;vosotros ;;;hubiereis escrito;;ustedes //ellos //ellas ;;;hubieren escrito;;;;;
Condicional;condicional;;yo ;;;escribiría;;tú //vos ;;;escribirías;;él //ella //usted ;;;escribiría;;nosotros ;;;escribiríamos;;vosotros ;;;escribiríais;;ustedes //ellos //ellas ;;;escribirían;;;;;
Condicional Perfecto;condicional;;yo ;;;habría escrito;;tú //vos ;;;habrías escrito;;él //ella //usted ;;;habría escrito;;nosotros ;;;habríamos escrito;;vosotros ;;;habríais escrito;;ustedes //ellos //ellas ;;;habrían escrito;;;;;
Imperativo Afirmativo;imperativo;;;;;;;(tú) ;;;escribe;;(usted) ;;;escriba;;(nosotros) ;;;escribamos;;(vosotros) ;;;escribid;;(ustedes) ;;;escriban;;(vos) ;;;escribí
Imperativo Negativo;imperativo;;;;;;;tú //vos ;no ;;escribas;;él //ella //usted ;no ;;escriba;;nosotros ;no ;;escribamos;;vosotros ;no ;;escribáis;;ustedes //ellos //ellas ;no ;;escriban;;;;;
