;mode;conjunction-1;pronoun-1;negation-1;refl_pronoun-1;conjugation-1;conjunction-2;pronoun-2;negation-2;refl_pronoun-2;conjugation-2;conjunction-3;pronoun-3;negation-3;refl_pronoun-3;conjugation-3;conjunction-4;pronoun-4;negation-4;refl_pronoun-4;conjugation-4;conjunction-5;pronoun-5;negation-5;refl_pronoun-5;conjugation-5;conjunction-6;pronoun-6;negation-6;refl_pronoun-6;conjugation-6;conjunction-7;pronoun-7;negation-7;refl_pronoun-7;conjugation-7
Infinitivo;infinitivo;ir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gerundio;gerundio;yendo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participio;participio;ido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indicativo Presente;indicativo;;yo ;;;voy;;tú //vos ;;;vas;;él //ella //usted ;;;va;;nosotros ;;;vamos;;vosotros ;;;vais;;ustedes //ellos //ellas ;;;van;;;;;
Indicativo Pretérito Imperfecto;indicativo;;yo ;;;iba;;tú //vos ;;;ibas;;él //ella //usted ;;;iba;;nosotros ;;;íbamos;;vosotros ;;;ibais;;ustedes //ellos //ellas ;;;iban;;;;;
Indicativo Pretérito Indefinido;indicativo;;yo ;;;fui;;tú //vos ;;;fuiste;;él //ella //usted ;;;fue;;nosotros ;;;fuimos;;vosotros ;;;fuisteis;;ustedes //ellos //ellas ;;;fueron;;;;;
Indicativo Futuro;indicativo;;yo ;;;iré;;tú //vos ;;;irás;;él //ella //usted ;;;irá;;nosotros ;;;iremos;;vosotros ;;;iréis;;ustedes //ellos //ellas ;;;irán;;;;;
Indicativo Pretérito Perfecto;indicativo;;yo ;;;he ido;;tú //vos ;;;has ido;;él //ella //usted ;;;ha ido;;nosotros ;;;hemos ido;;vosotros ;;;habéis ido;;ustedes //ellos //ellas ;;;han ido;;;;;
Indicativo Pretérito Pluscuamperfecto;indicativo;;yo ;;;había ido;;tú //vos ;;;habías ido;;él //ella //usted ;;;había ido;;nosotros ;;;habíamos ido;;vosotros ;;;habíais ido;;ustedes //ellos //ellas ;;;habían ido;;;;;
Indicativo Pretérito Anterior;indicativo;;yo ;;;hube ido;;tú //vos ;;;hubiste ido;;él //ella //usted ;;;hubo ido;;nosotros ;;;hubimos ido;;vosotros ;;;hubisteis ido;;ustedes //ellos //ellas ;;;hubieron ido;;;;;
Indicativo Futuro Perfecto;indicativo;;yo ;;;habré ido;;tú //vos ;;;habrás ido;;él //ella //usted ;;;habrá ido;;nosotros ;;;habremos ido;;vosotros ;;;habréis ido;;ustedes //ellos //ellas ;;;habrán ido;;;;;
Subjuntivo Presente;subjuntivo;;yo ;;;vaya;;tú //vos ;;;vayas;;él //ella //usted ;;;vaya;;nosotros ;;;vayamos;;vosotros ;;;vayáis;;ustedes //ellos //ellas ;;;vayan;;;;;
Subjuntivo Pretérito Imperfecto;subjuntivo;;yo ;;;fuera / fuese;;tú //vos ;;;fueras / fueses;;él //ella //usted ;;;fuera / fuese;;nosotros ;;;fuéramos / fuésemos;;vosotros ;;;fuerais / fueseis;;ustedes //ellos //ellas ;;;fueran / fuesen;;;;;
Subjuntivo Futuro;subjuntivo;;yo ;;;fuere;;tú //vos ;;;fueres;;él //ella //usted ;;;fuere;;nosotros ;;;fuéremos;;vosotros ;;;fuereis;;ustedes //ellos //ellas ;;;fueren;;;;;
Subjuntivo Pretérito Perfecto;subjuntivo;;yo ;;;haya ido;;tú //vos ;;;hayas ido;;él //ella //usted ;;;haya ido;;nosotros ;;;hayamos ido;;vosotros ;;;hayáis ido;;ustedes //ellos //ellas ;;;hayan ido;;;;;
Subjuntivo Pretérito Pluscuamperfecto;subjuntivo;;yo ;;;hubiera ido / hubiese ido;;tú //vos ;;;hubieras ido / hubieses ido;;él //ella //usted ;;;hubiera ido / hubiese ido;;nosotros ;;;hubiéramos ido / hubiésemos ido;;vosotros ;;;hubierais ido / hubieseis ido;;ustedes //ellos //ellas ;;;hubieran ido / hubiesen ido;;;;;
Subjuntivo Futuro Perfecto;subjuntivo;;yo ;;;hubiere ido;;tú //vos ;;;hubieres ido;;él //ella //usted ;;;hubiere ido;;nosotros ;;;hubiéremos ido;;vosotros ;;;hubiereis ido;;ustedes //ellos //ellas ;;;hubieren ido;;;;;
Condicional;condicional;;yo ;;;iría;;tú //vos ;;;irías;;él //ella //usted ;;;iría;;nosotros ;;;iríamos;;vosotros ;;;iríais;;ustedes //ellos //ellas ;;;irían;;;;;
Condicional Perfecto;condicional;;yo ;;;habría ido;;tú //vos ;;;habrías ido;;él //ella //usted ;;;habría ido;;nosotros ;;;habríamos ido;;vosotros ;;;habríais ido;;ustedes //ellos //ellas ;;;habrían ido;;;;;
Imperativo Afirmativo;imperativo;;;;;;;(tú) ;;;ve / ves;;(usted) ;;;vaya;;(nosotros) ;;;vayamos;;(vosotros) ;;;id;;(ustedes) ;;;vayan;;(vos) ;;;andá
Imperativo Negativo;imperativo;;;;;;;tú //vos ;no ;;vayas;;él //ella //usted ;no ;;vaya;;nosotros ;no ;;vayamos;;vosotros ;no ;;vayáis;;ustedes //ellos //ellas ;no ;;vayan;;;;;
