;mode;conjunction-1;pronoun-1;negation-1;refl_pronoun-1;conjugation-1;conjunction-2;pronoun-2;negation-2;refl_pronoun-2;conjugation-2;conjunction-3;pronoun-3;negation-3;refl_pronoun-3;conjugation-3;conjunction-4;pronoun-4;negation-4;refl_pronoun-4;conjugation-4;conjunction-5;pronoun-5;negation-5;refl_pronoun-5;conjugation-5;conjunction-6;pronoun-6;negation-6;refl_pronoun-6;conjugation-6;conjunction-7;pronoun-7;negation-7;refl_pronoun-7;conjugation-7
Infinitivo;infinitivo;ladrar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gerundio;gerundio;ladrando;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participio;participio;ladrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indicativo Presente;indicativo;;yo ;;;ladro;;tú ;;;ladras;;él //ella //usted ;;;ladra;;nosotros ;;;ladramos;;vosotros ;;;ladráis;;ustedes //ellos //ellas ;;;ladran;;vos ;;;ladrás
Indicativo Pretérito Imperfecto;indicativo;;yo ;;;ladraba;;tú //vos ;;;ladrabas;;él //ella //usted ;;;ladraba;;nosotros ;;;ladrábamos;;vosotros ;;;ladrabais;;ustedes //ellos //ellas ;;;ladraban;;;;;
Indicativo Pretérito Indefinido;indicativo;;yo ;;;ladré;;tú //vos ;;;ladraste;;él //ella //usted ;;;ladró;;nosotros ;;;ladramos;;vosotros ;;;ladrasteis;;ustedes //ellos //ellas ;;;ladraron;;;;;
Indicativo Futuro;indicativo;;yo ;;;ladraré;;tú //vos ;;;ladrarás;;él //ella //usted ;;;ladrará;;nosotros ;;;ladraremos;;vosotros ;;;ladraréis;;ustedes //ellos //ellas ;;;ladrarán;;;;;
Indicativo Pretérito Perfecto;indicativo;;yo ;;;he ladrado;;tú //vos ;;;has ladrado;;él //ella //usted ;;;ha ladrado;;nosotros ;;;hemos ladrado;;vosotros ;;;habéis ladrado;;ustedes //ellos //ellas ;;;han ladrado;;;;;
Indicativo Pretérito Pluscuamperfecto;indicativo;;yo ;;;había ladrado;;tú //vos ;;;habías ladrado;;él //ella //usted ;;;había ladrado;;nosotros ;;;habíamos ladrado;;vosotros ;;;habíais ladrado;;ustedes //ellos //ellas ;;;habían ladrado;;;;;
Indicativo Pretérito Anterior;indicativo;;yo ;;;hube ladrado;;tú //vos ;;;hubiste ladrado;;él //ella //usted ;;;hubo ladrado;;nosotros ;;;hubimos ladrado;;vosotros ;;;hubisteis ladrado;;ustedes //ellos //ellas ;;;hubieron ladrado;;;;;
Indicativo Futuro Perfecto;indicativo;;yo ;;;habré ladrado;;tú //vos ;;;habrás ladrado;;él //ella //usted ;;;habrá ladrado;;nosotros ;;;habremos ladrado;;vosotros ;;;habréis ladrado;;ustedes //ellos //ellas ;;;habrán ladrado;;;;;
Subjuntivo Presente;subjuntivo;;yo ;;;ladre;;tú //vos ;;;ladres;;él //ella //usted ;;;ladre;;nosotros ;;;ladremos;;vosotros ;;;ladréis;;ustedes //ellos //ellas ;;;ladren;;;;;
Subjuntivo Pretérito Imperfecto;subjuntivo;;yo ;;;ladrara / ladrase;;tú //vos ;;;ladraras / ladrases;;él //ella //usted ;;;ladrara / ladrase;;nosotros ;;;ladráramos / ladrásemos;;vosotros ;;;ladrarais / ladraseis;;ustedes //ellos //ellas ;;;ladraran / ladrasen;;;;;
Subjuntivo Futuro;subjuntivo;;yo ;;;ladrare;;tú //vos ;;;ladrares;;él //ella //usted ;;;ladrare;;nosotros ;;;ladráremos;;vosotros ;;;ladrareis;;ustedes //ellos //ellas ;;;ladraren;;;;;
Subjuntivo Pretérito Perfecto;subjuntivo;;yo ;;;haya ladrado;;tú //vos ;;;hayas ladrado;;él //ella //usted ;;;haya ladrado;;nosotros ;;;hayamos ladrado;;vosotros ;;;hayáis ladrado;;ustedes //ellos //ellas ;;;hayan ladrado;;;;;
Subjuntivo Pretérito Pluscuamperfecto;subjuntivo;;yo ;;;hubiera ladrado / hubiese ladrado;;tú //vos ;;;hubieras ladrado / hubieses ladrado;;él //ella //usted ;;;hubiera ladrado / hubiese ladrado;;nosotros ;;;hubiéramos ladrado / hubiésemos ladrado;;vosotros ;;;hubierais ladrado / hubieseis ladrado;;ustedes //ellos //ellas ;;;hubieran ladrado / hubiesen ladrado;;;;;
Subjuntivo Futuro Perfecto;subjuntivo;;yo ;;;hubiere ladrado;;tú //vos ;;;hubieres ladrado;;él //ella //usted ;;;hubiere ladrado;;nosotros ;;;hubiéremos ladrado;;vosotros ;;;hubiereis ladrado;;ustedes //ellos //ellas ;;;hubieren ladrado;;;;;
Condicional;condicional;;yo ;;;ladraría;;tú //vos ;;;ladrarías;;él //ella //usted ;;;ladraría;;nosotros ;;;ladraríamos;;vosotros ;;;ladraríais;;ustedes //ellos //ellas ;;;ladrarían;;;;;
Condicional Perfecto;condicional;;yo ;;;habría ladrado;;tú //vos ;;;habrías ladrado;;él //ella //usted ;;;habría ladrado;;nosotros ;;;habríamos ladrado;;vosotros ;;;habríais ladrado;;ustedes //ellos //ellas ;;;habrían ladrado;;;;;
Imperativo Afirmativo;imperativo;;;;;;;(tú) ;;;ladra;;(usted) ;;;ladre;;(nosotros) ;;;ladremos;;(vosotros) ;;;ladrad;;(ustedes) ;;;ladren;;(vos) ;;;ladrá
Imperativo Negativo;imperativo;;;;;;;tú //vos ;no ;;ladres;;él //ella //usted ;no ;;ladre;;nosotros ;no ;;ladremos;;vosotros ;no ;;ladréis;;ustedes //ellos //ellas ;no ;;ladren;;;;;
